Datetime,Date,Time,Temp,pH ,mV[pH],ORP[mV],EC,EC Abs,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L]
11/18/2021 7:54:42 a. m.,2021/11/18,7:54:42 a. m.,13.62,5.19,116.9,279,659,516,1.5,0.329,0.32,0,10.799,68.1,5.16
11/18/2021 7:54:47 a. m.,2021/11/18,7:54:47 a. m.,13.62,5.19,116.9,279,659,516,1.5,0.329,0.32,0,10.801,68.1,5.16
11/18/2021 7:54:52 a. m.,2021/11/18,7:54:52 a. m.,13.62,5.19,116.9,279,658,516,1.5,0.329,0.32,0,10.8,68.1,5.16
11/18/2021 7:54:57 a. m.,2021/11/18,7:54:57 a. m.,13.62,5.19,116.9,279,659,516,1.5,0.329,0.32,0,10.801,68.4,5.18
11/18/2021 7:55:02 a. m.,2021/11/18,7:55:02 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.8,68.5,5.19
11/18/2021 7:55:07 a. m.,2021/11/18,7:55:07 a. m.,13.62,5.19,116.9,279,659,516,1.5,0.329,0.32,0,10.799,68.3,5.17
11/18/2021 7:55:12 a. m.,2021/11/18,7:55:12 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.798,68.2,5.16
11/18/2021 7:55:17 a. m.,2021/11/18,7:55:17 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.799,68.3,5.17
11/18/2021 7:55:22 a. m.,2021/11/18,7:55:22 a. m.,13.62,5.19,116.9,279,659,516,1.5,0.329,0.32,0,10.799,68.2,5.17
11/18/2021 7:55:27 a. m.,2021/11/18,7:55:27 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.8,68.2,5.16
11/18/2021 7:55:32 a. m.,2021/11/18,7:55:32 a. m.,13.62,5.19,116.9,279,659,516,1.5,0.329,0.32,0,10.799,68.3,5.17
11/18/2021 7:55:37 a. m.,2021/11/18,7:55:37 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.798,68.6,5.2
11/18/2021 7:55:42 a. m.,2021/11/18,7:55:42 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,68.9,5.22
11/18/2021 7:55:47 a. m.,2021/11/18,7:55:47 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.797,68.8,5.21
11/18/2021 7:55:52 a. m.,2021/11/18,7:55:52 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,68.6,5.19
11/18/2021 7:55:57 a. m.,2021/11/18,7:55:57 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.795,68.5,5.19
11/18/2021 7:56:02 a. m.,2021/11/18,7:56:02 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.795,68.8,5.21
11/18/2021 7:56:07 a. m.,2021/11/18,7:56:07 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,69.2,5.24
11/18/2021 7:56:12 a. m.,2021/11/18,7:56:12 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.797,69.3,5.25
11/18/2021 7:56:17 a. m.,2021/11/18,7:56:17 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.797,69.1,5.23
11/18/2021 7:56:22 a. m.,2021/11/18,7:56:22 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,69,5.23
11/18/2021 7:56:27 a. m.,2021/11/18,7:56:27 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,68.9,5.22
11/18/2021 7:56:32 a. m.,2021/11/18,7:56:32 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,68.7,5.2
11/18/2021 7:56:37 a. m.,2021/11/18,7:56:37 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.797,68.4,5.18
11/18/2021 7:56:42 a. m.,2021/11/18,7:56:42 a. m.,13.61,5.19,117,279,658,516,1.5,0.329,0.32,0,10.797,68.2,5.17
11/18/2021 7:56:47 a. m.,2021/11/18,7:56:47 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,68.2,5.17
11/18/2021 7:56:52 a. m.,2021/11/18,7:56:52 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.797,68.2,5.17
11/18/2021 7:56:57 a. m.,2021/11/18,7:56:57 a. m.,13.62,5.19,117,279,658,516,1.5,0.329,0.32,0,10.796,68.1,5.16
11/18/2021 7:57:02 a. m.,2021/11/18,7:57:02 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,68,5.15
11/18/2021 7:57:07 a. m.,2021/11/18,7:57:07 a. m.,13.61,5.19,116.9,279,659,516,1.5,0.329,0.32,0,10.796,67.7,5.13
11/18/2021 7:57:12 a. m.,2021/11/18,7:57:12 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,67.6,5.12
11/18/2021 7:57:17 a. m.,2021/11/18,7:57:17 a. m.,13.62,5.19,117,279,659,516,1.5,0.329,0.32,0,10.798,67.5,5.11
11/18/2021 7:57:22 a. m.,2021/11/18,7:57:22 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.798,67.3,5.1
11/18/2021 7:57:27 a. m.,2021/11/18,7:57:27 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.798,67.3,5.1
11/18/2021 7:57:32 a. m.,2021/11/18,7:57:32 a. m.,13.61,5.19,117,279,658,516,1.5,0.329,0.32,0,10.798,67.2,5.09
11/18/2021 7:57:37 a. m.,2021/11/18,7:57:37 a. m.,13.61,5.19,117,279,658,516,1.5,0.329,0.32,0,10.797,67.2,5.09
11/18/2021 7:57:42 a. m.,2021/11/18,7:57:42 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.797,67.4,5.1
11/18/2021 7:57:47 a. m.,2021/11/18,7:57:47 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.797,67.7,5.13
11/18/2021 7:57:52 a. m.,2021/11/18,7:57:52 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.798,67.8,5.14
11/18/2021 7:57:57 a. m.,2021/11/18,7:57:57 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.797,67.7,5.13
11/18/2021 7:58:02 a. m.,2021/11/18,7:58:02 a. m.,13.61,5.19,116.9,279,659,516,1.5,0.329,0.32,0,10.796,67.8,5.13
11/18/2021 7:58:07 a. m.,2021/11/18,7:58:07 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.797,67.8,5.14
11/18/2021 7:58:12 a. m.,2021/11/18,7:58:12 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,67.8,5.14
11/18/2021 7:58:17 a. m.,2021/11/18,7:58:17 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.796,67.9,5.14
11/18/2021 7:58:22 a. m.,2021/11/18,7:58:22 a. m.,13.61,5.19,117,279,659,516,1.5,0.329,0.32,0,10.798,67.9,5.14
11/18/2021 7:58:27 a. m.,2021/11/18,7:58:27 a. m.,13.61,5.19,117,279.1,658,516,1.5,0.329,0.32,0,10.798,67.9,5.14
11/18/2021 7:58:32 a. m.,2021/11/18,7:58:32 a. m.,13.61,5.19,117,279.1,659,516,1.5,0.329,0.32,0,10.799,67.9,5.15
11/18/2021 7:58:37 a. m.,2021/11/18,7:58:37 a. m.,13.61,5.19,117,279.1,658,516,1.5,0.329,0.32,0,10.797,68,5.15
11/18/2021 7:58:42 a. m.,2021/11/18,7:58:42 a. m.,13.61,5.19,117,279.1,659,516,1.5,0.329,0.32,0,10.799,67.9,5.14
11/18/2021 7:58:47 a. m.,2021/11/18,7:58:47 a. m.,13.61,5.19,117,279.1,659,516,1.5,0.329,0.32,0,10.796,67.7,5.13
11/18/2021 7:58:52 a. m.,2021/11/18,7:58:52 a. m.,13.61,5.19,117,279.1,659,516,1.5,0.329,0.32,0,10.796,67.5,5.11
11/18/2021 7:58:57 a. m.,2021/11/18,7:58:57 a. m.,13.61,5.19,117,279.1,658,516,1.5,0.329,0.32,0,10.797,67.4,5.1
11/18/2021 7:59:02 a. m.,2021/11/18,7:59:02 a. m.,13.61,5.19,117,279.1,658,516,1.5,0.329,0.32,0,10.798,67.6,5.12
11/18/2021 7:59:07 a. m.,2021/11/18,7:59:07 a. m.,13.61,5.19,117,279.1,658,516,1.5,0.329,0.32,0,10.798,67.9,5.14
11/18/2021 7:59:12 a. m.,2021/11/18,7:59:12 a. m.,13.61,5.19,117,279.1,658,516,1.5,0.329,0.32,0,10.799,68,5.15
11/18/2021 7:59:17 a. m.,2021/11/18,7:59:17 a. m.,13.61,5.19,117.1,279.1,659,516,1.5,0.329,0.32,0,10.798,67.9,5.14
11/18/2021 7:59:22 a. m.,2021/11/18,7:59:22 a. m.,13.61,5.19,117.1,279.1,659,516,1.5,0.329,0.32,0,10.799,67.9,5.14
11/18/2021 7:59:27 a. m.,2021/11/18,7:59:27 a. m.,13.61,5.19,117.1,279.1,659,516,1.5,0.329,0.32,0,10.8,68.2,5.17
11/18/2021 7:59:32 a. m.,2021/11/18,7:59:32 a. m.,13.61,5.19,117.1,279.2,659,516,1.5,0.329,0.32,0,10.799,68.4,5.18
11/18/2021 7:59:37 a. m.,2021/11/18,7:59:37 a. m.,13.61,5.19,117.1,279.2,659,516,1.5,0.329,0.32,0,10.8,68.2,5.17
11/18/2021 7:59:42 a. m.,2021/11/18,7:59:42 a. m.,13.61,5.19,117.1,279.2,658,516,1.5,0.329,0.32,0,10.799,67.9,5.14
11/18/2021 7:59:47 a. m.,2021/11/18,7:59:47 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.797,67.6,5.12
11/18/2021 7:59:52 a. m.,2021/11/18,7:59:52 a. m.,13.61,5.19,116.9,279.2,658,516,1.5,0.329,0.32,0,10.797,67.5,5.11
11/18/2021 7:59:57 a. m.,2021/11/18,7:59:57 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.799,67.3,5.1
11/18/2021 8:00:02 a. m.,2021/11/18,8:00:02 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.799,67.3,5.09
11/18/2021 8:00:07 a. m.,2021/11/18,8:00:07 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.798,67.4,5.1
11/18/2021 8:00:12 a. m.,2021/11/18,8:00:12 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.798,67.6,5.12
11/18/2021 8:00:17 a. m.,2021/11/18,8:00:17 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.796,67.8,5.14
11/18/2021 8:00:22 a. m.,2021/11/18,8:00:22 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.797,67.9,5.14
11/18/2021 8:00:27 a. m.,2021/11/18,8:00:27 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.797,67.9,5.14
11/18/2021 8:00:32 a. m.,2021/11/18,8:00:32 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.797,68.3,5.18
11/18/2021 8:00:37 a. m.,2021/11/18,8:00:37 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.796,68.7,5.2
11/18/2021 8:00:42 a. m.,2021/11/18,8:00:42 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.797,68.8,5.21
11/18/2021 8:00:47 a. m.,2021/11/18,8:00:47 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.796,68.8,5.21
11/18/2021 8:00:52 a. m.,2021/11/18,8:00:52 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.797,68.6,5.2
11/18/2021 8:00:57 a. m.,2021/11/18,8:00:57 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.796,68.3,5.17
11/18/2021 8:01:02 a. m.,2021/11/18,8:01:02 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.797,68,5.15
11/18/2021 8:01:07 a. m.,2021/11/18,8:01:07 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.801,67.8,5.14
11/18/2021 8:01:12 a. m.,2021/11/18,8:01:12 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.8,67.6,5.12
11/18/2021 8:01:17 a. m.,2021/11/18,8:01:17 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.799,67.5,5.12
11/18/2021 8:01:22 a. m.,2021/11/18,8:01:22 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.8,67.5,5.12
11/18/2021 8:01:27 a. m.,2021/11/18,8:01:27 a. m.,13.61,5.19,117,279.2,658,516,1.5,0.329,0.32,0,10.798,67.5,5.12
11/18/2021 8:01:32 a. m.,2021/11/18,8:01:32 a. m.,13.61,5.19,117.1,279.3,658,516,1.5,0.329,0.32,0,10.798,67.6,5.12
11/18/2021 8:01:37 a. m.,2021/11/18,8:01:37 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.798,68,5.15
11/18/2021 8:01:42 a. m.,2021/11/18,8:01:42 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.799,68.8,5.21
11/18/2021 8:01:47 a. m.,2021/11/18,8:01:47 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.797,69.1,5.23
11/18/2021 8:01:52 a. m.,2021/11/18,8:01:52 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.796,69.1,5.23
11/18/2021 8:01:57 a. m.,2021/11/18,8:01:57 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.797,69.1,5.24
11/18/2021 8:02:02 a. m.,2021/11/18,8:02:02 a. m.,13.61,5.18,117.2,279.3,658,516,1.5,0.329,0.32,0,10.798,69,5.23
11/18/2021 8:02:07 a. m.,2021/11/18,8:02:07 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.796,69.1,5.23
11/18/2021 8:02:12 a. m.,2021/11/18,8:02:12 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.799,69.2,5.24
11/18/2021 8:02:17 a. m.,2021/11/18,8:02:17 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.798,69.1,5.23
11/18/2021 8:02:22 a. m.,2021/11/18,8:02:22 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.798,69.1,5.23
11/18/2021 8:02:27 a. m.,2021/11/18,8:02:27 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.798,69,5.23
11/18/2021 8:02:32 a. m.,2021/11/18,8:02:32 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.799,69,5.23
11/18/2021 8:02:37 a. m.,2021/11/18,8:02:37 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.799,69.1,5.23
11/18/2021 8:02:42 a. m.,2021/11/18,8:02:42 a. m.,13.61,5.19,117.1,279.3,658,516,1.5,0.329,0.32,0,10.802,69.4,5.26
11/18/2021 8:02:47 a. m.,2021/11/18,8:02:47 a. m.,13.61,5.19,117.1,279.3,658,516,1.5,0.329,0.32,0,10.798,69.7,5.28
11/18/2021 8:02:52 a. m.,2021/11/18,8:02:52 a. m.,13.61,5.19,117.1,279.3,658,516,1.5,0.329,0.32,0,10.799,69.8,5.29
11/18/2021 8:02:57 a. m.,2021/11/18,8:02:57 a. m.,13.61,5.19,117.1,279.3,658,516,1.5,0.329,0.32,0,10.799,69.5,5.27
11/18/2021 8:03:02 a. m.,2021/11/18,8:03:02 a. m.,13.61,5.19,117.1,279.3,658,516,1.5,0.329,0.32,0,10.799,69.3,5.25
11/18/2021 8:03:07 a. m.,2021/11/18,8:03:07 a. m.,13.6,5.19,117,279.3,659,516,1.5,0.329,0.32,0,10.8,69.5,5.27
11/18/2021 8:03:12 a. m.,2021/11/18,8:03:12 a. m.,13.6,5.19,117.1,279.3,659,516,1.5,0.329,0.32,0,10.8,70.4,5.33
11/18/2021 8:03:17 a. m.,2021/11/18,8:03:17 a. m.,13.6,5.19,117.1,279.3,659,516,1.5,0.329,0.32,0,10.801,70.6,5.35
11/18/2021 8:03:22 a. m.,2021/11/18,8:03:22 a. m.,13.6,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.801,70.4,5.33
11/18/2021 8:03:27 a. m.,2021/11/18,8:03:27 a. m.,13.61,5.18,117.2,279.3,658,516,1.5,0.329,0.32,0,10.8,70.1,5.31
11/18/2021 8:03:32 a. m.,2021/11/18,8:03:32 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.797,69.8,5.29
11/18/2021 8:03:37 a. m.,2021/11/18,8:03:37 a. m.,13.61,5.19,117.1,279.3,658,516,1.5,0.329,0.32,0,10.799,69.7,5.28
11/18/2021 8:03:42 a. m.,2021/11/18,8:03:42 a. m.,13.61,5.19,117.1,279.3,658,516,1.5,0.329,0.32,0,10.799,69.3,5.25
11/18/2021 8:03:47 a. m.,2021/11/18,8:03:47 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.797,68.9,5.22
11/18/2021 8:03:52 a. m.,2021/11/18,8:03:52 a. m.,13.61,5.18,117.1,279.3,658,516,1.5,0.329,0.32,0,10.798,68.6,5.2
11/18/2021 8:03:57 a. m.,2021/11/18,8:03:57 a. m.,13.61,5.18,117.1,279.3,658,516,1.5,0.329,0.32,0,10.798,68.4,5.18
11/18/2021 8:04:02 a. m.,2021/11/18,8:04:02 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.797,68.5,5.19
11/18/2021 8:04:07 a. m.,2021/11/18,8:04:07 a. m.,13.61,5.19,117,279.3,658,516,1.5,0.329,0.32,0,10.799,68.6,5.19
11/18/2021 8:04:12 a. m.,2021/11/18,8:04:12 a. m.,13.6,5.18,117.1,279.3,658,516,1.5,0.329,0.32,0,10.801,68.4,5.19
11/18/2021 8:04:17 a. m.,2021/11/18,8:04:17 a. m.,13.6,5.19,117,279.4,658,516,1.5,0.329,0.32,0,10.802,68.4,5.18
11/18/2021 8:04:22 a. m.,2021/11/18,8:04:22 a. m.,13.6,5.19,117.1,279.3,658,516,1.5,0.329,0.32,0,10.8,68.5,5.19
11/18/2021 8:04:27 a. m.,2021/11/18,8:04:27 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,68.6,5.2
11/18/2021 8:04:32 a. m.,2021/11/18,8:04:32 a. m.,13.6,5.19,117.1,279.3,659,516,1.5,0.329,0.32,0,10.803,68.5,5.19
11/18/2021 8:04:37 a. m.,2021/11/18,8:04:37 a. m.,13.6,5.19,117.1,279.3,659,516,1.5,0.329,0.32,0,10.804,68.8,5.21
11/18/2021 8:04:42 a. m.,2021/11/18,8:04:42 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.804,69.1,5.23
11/18/2021 8:04:47 a. m.,2021/11/18,8:04:47 a. m.,13.6,5.19,117,279.4,659,516,1.5,0.329,0.32,0,10.803,69.2,5.24
11/18/2021 8:04:52 a. m.,2021/11/18,8:04:52 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,69.1,5.24
11/18/2021 8:04:57 a. m.,2021/11/18,8:04:57 a. m.,13.6,5.19,117.1,279.3,659,516,1.5,0.329,0.32,0,10.801,69.1,5.24
11/18/2021 8:05:02 a. m.,2021/11/18,8:05:02 a. m.,13.6,5.19,117.1,279.3,659,516,1.5,0.329,0.32,0,10.801,68.9,5.22
11/18/2021 8:05:07 a. m.,2021/11/18,8:05:07 a. m.,13.6,5.19,117.1,279.3,659,516,1.5,0.329,0.32,0,10.801,68.7,5.21
11/18/2021 8:05:12 a. m.,2021/11/18,8:05:12 a. m.,13.6,5.19,117.1,279.3,659,516,1.5,0.329,0.32,0,10.801,68.4,5.19
11/18/2021 8:05:17 a. m.,2021/11/18,8:05:17 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,68.1,5.16
11/18/2021 8:05:22 a. m.,2021/11/18,8:05:22 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.799,67.8,5.14
11/18/2021 8:05:27 a. m.,2021/11/18,8:05:27 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.8,67.6,5.13
11/18/2021 8:05:32 a. m.,2021/11/18,8:05:32 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.8,67.9,5.15
11/18/2021 8:05:37 a. m.,2021/11/18,8:05:37 a. m.,13.6,5.19,117,279.4,659,516,1.5,0.329,0.32,0,10.801,68,5.16
11/18/2021 8:05:42 a. m.,2021/11/18,8:05:42 a. m.,13.6,5.18,117.2,279.4,659,516,1.5,0.329,0.32,0,10.8,68,5.16
11/18/2021 8:05:47 a. m.,2021/11/18,8:05:47 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.801,67.9,5.15
11/18/2021 8:05:52 a. m.,2021/11/18,8:05:52 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,67.8,5.14
11/18/2021 8:05:57 a. m.,2021/11/18,8:05:57 a. m.,13.6,5.19,117.1,279.3,659,516,1.5,0.329,0.32,0,10.805,67.7,5.13
11/18/2021 8:06:02 a. m.,2021/11/18,8:06:02 a. m.,13.6,5.19,117,279.3,659,516,1.5,0.329,0.32,0,10.803,67.5,5.12
11/18/2021 8:06:07 a. m.,2021/11/18,8:06:07 a. m.,13.59,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.804,67.6,5.12
11/18/2021 8:06:12 a. m.,2021/11/18,8:06:12 a. m.,13.59,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.806,68.4,5.19
11/18/2021 8:06:17 a. m.,2021/11/18,8:06:17 a. m.,13.59,5.18,117.1,279.4,659,516,1.5,0.329,0.32,0,10.806,69.6,5.28
11/18/2021 8:06:22 a. m.,2021/11/18,8:06:22 a. m.,13.59,5.18,117.1,279.4,659,516,1.5,0.329,0.32,0,10.806,70.2,5.32
11/18/2021 8:06:27 a. m.,2021/11/18,8:06:27 a. m.,13.59,5.18,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,70.1,5.31
11/18/2021 8:06:32 a. m.,2021/11/18,8:06:32 a. m.,13.59,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.804,70.2,5.32
11/18/2021 8:06:37 a. m.,2021/11/18,8:06:37 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.802,70,5.3
11/18/2021 8:06:42 a. m.,2021/11/18,8:06:42 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.8,69.6,5.28
11/18/2021 8:06:47 a. m.,2021/11/18,8:06:47 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.802,69.4,5.26
11/18/2021 8:06:52 a. m.,2021/11/18,8:06:52 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.804,69.2,5.25
11/18/2021 8:06:57 a. m.,2021/11/18,8:06:57 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,69.6,5.28
11/18/2021 8:07:02 a. m.,2021/11/18,8:07:02 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,69.7,5.28
11/18/2021 8:07:07 a. m.,2021/11/18,8:07:07 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,69.5,5.27
11/18/2021 8:07:12 a. m.,2021/11/18,8:07:12 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,69.3,5.25
11/18/2021 8:07:17 a. m.,2021/11/18,8:07:17 a. m.,13.6,5.19,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,69,5.23
11/18/2021 8:07:22 a. m.,2021/11/18,8:07:22 a. m.,13.59,5.18,117.2,279.4,659,516,1.5,0.329,0.32,0,10.801,68.8,5.21
11/18/2021 8:07:27 a. m.,2021/11/18,8:07:27 a. m.,13.59,5.18,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,70.1,5.31
11/18/2021 8:07:32 a. m.,2021/11/18,8:07:32 a. m.,13.59,5.18,117.1,279.4,659,516,1.5,0.329,0.32,0,10.802,69.8,5.29
11/18/2021 8:07:37 a. m.,2021/11/18,8:07:37 a. m.,13.59,5.19,117,279.4,659,516,1.5,0.329,0.32,0,10.801,69.5,5.27
11/18/2021 8:07:42 a. m.,2021/11/18,8:07:42 a. m.,13.59,5.18,117.2,279.4,659,516,1.5,0.329,0.32,0,10.803,69.3,5.26
11/18/2021 8:07:47 a. m.,2021/11/18,8:07:47 a. m.,13.59,5.18,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,69,5.23
11/18/2021 8:07:52 a. m.,2021/11/18,8:07:52 a. m.,13.59,5.18,117.1,279.4,659,516,1.5,0.329,0.32,0,10.803,68.8,5.22
11/18/2021 8:07:57 a. m.,2021/11/18,8:07:57 a. m.,13.59,5.18,117.2,279.4,659,516,1.5,0.329,0.32,0,10.802,68.7,5.21
11/18/2021 8:08:02 a. m.,2021/11/18,8:08:02 a. m.,13.59,5.18,117.2,279.4,659,516,1.5,0.329,0.32,0,10.801,68.6,5.2
11/18/2021 8:08:07 a. m.,2021/11/18,8:08:07 a. m.,13.59,5.18,117.2,279.4,659,516,1.5,0.329,0.32,0,10.8,68.4,5.18
11/18/2021 8:08:12 a. m.,2021/11/18,8:08:12 a. m.,13.59,5.18,117.2,279.5,659,516,1.5,0.329,0.32,0,10.801,68.3,5.18
11/18/2021 8:08:17 a. m.,2021/11/18,8:08:17 a. m.,13.59,5.18,117.2,279.5,658,516,1.5,0.329,0.32,0,10.8,68.1,5.16
11/18/2021 8:08:22 a. m.,2021/11/18,8:08:22 a. m.,13.59,5.18,117.2,279.5,659,516,1.5,0.329,0.32,0,10.801,68,5.15
11/18/2021 8:08:27 a. m.,2021/11/18,8:08:27 a. m.,13.59,5.18,117.1,279.5,659,516,1.5,0.329,0.32,0,10.801,67.8,5.14
11/18/2021 8:08:32 a. m.,2021/11/18,8:08:32 a. m.,13.59,5.18,117.1,279.5,659,516,1.5,0.329,0.32,0,10.8,67.6,5.12
11/18/2021 8:08:37 a. m.,2021/11/18,8:08:37 a. m.,13.59,5.19,117.1,279.5,659,516,1.5,0.329,0.32,0,10.804,67.3,5.1
11/18/2021 8:08:42 a. m.,2021/11/18,8:08:42 a. m.,13.59,5.18,117.1,279.5,659,516,1.5,0.329,0.32,0,10.803,67.2,5.09
11/18/2021 8:08:47 a. m.,2021/11/18,8:08:47 a. m.,13.59,5.18,117.1,279.5,659,516,1.5,0.329,0.32,0,10.803,67.3,5.1
11/18/2021 8:08:52 a. m.,2021/11/18,8:08:52 a. m.,13.59,5.18,117.1,279.5,659,516,1.5,0.329,0.32,0,10.802,67.3,5.1
11/18/2021 8:08:57 a. m.,2021/11/18,8:08:57 a. m.,13.59,5.18,117.1,279.5,659,516,1.5,0.329,0.32,0,10.804,67.2,5.1
11/18/2021 8:09:02 a. m.,2021/11/18,8:09:02 a. m.,13.59,5.18,117.2,279.5,658,516,1.5,0.329,0.32,0,10.803,67.1,5.08
